worker_id,task_id,task_response_id,tweet_id,text,username,bio,Categorize the tweet
R7XYZ4FKMFF9,b2d6b83d-b7f0-48e4-b051-c52714e7729e,0006f2e1-6a94-43f5-95a7-3b3d703876a5,1540795996602376192,"fb friend went off on me when the draft leaked for suggesting ""pro choice"" people were way more ready to help peopl… https://t.co/g8cxGUDizO",JQAForPresident,"Ex-Anglican Roman Catholic still convinced the best liturgical alternative to the vernacular is not Latin, but Church Slavonic.",Pro-life
Z6J69GNZYEXY,d04db379-b187-4b28-bc00-d92a39b63cf7,0008e3c2-6539-4145-a43a-623c730fbc28,1540794042274828290,"roe v wade was just the first domino to fall, they’re after brown v board next, then gay marriage, and they will  c… https://t.co/iXck6yTeid",Jacobskatee,Principal performer with disney on ice,Pro-choice
FQG6KZ9NADDZ,929e86cf-b119-4e49-a94f-e36214ab26a7,0022694c-7bd0-4d38-9346-13b19c408699,1540795699033509893,Love the Roe V Wade  decision. Now maybe all you abortionist will move back to your home state and let Texas respect and enjoy life.,SBOROBERSON,Texas Born,Pro-life
T3RMAEPRMD6J,1a62cd41-f8a6-4229-a31f-9ae0329f4e93,00332386-1046-4caa-ac85-008b4eda19aa,1540795884715261952,"If a woman wants an abortion, she should have that right. The argument that a person should only have one because t… https://t.co/xE5T9wzo05",seputa_,"bitches get shit// she/her                    im 18 now, so gotta calm down on the thirst tweets",Pro-choice
T3RMAEPRMD6J,1f2c8722-1e4d-43ac-9545-19a09a9a2006,0094922a-34dc-4afd-a627-053d546d0fc0,1540796020023508992,"Alternative proposal: cover travel expenses for @VanderbiltU employees who need abortions, as have many other emplo… https://t.co/blWtRXc8sO",mellissameisels,"Political Science PhD @VanderbiltU studying Congress, elections, $$ in politics. @UCLA alumna. Proud Oregonian. Nice(ish) Jewish girl.",Pro-life
ADCXHGCQRA34,925ca358-b3e4-40e2-bd59-8dd46cb53762,00b671c6-b2b8-423e-a332-70dc35923166,1540795767098687490,"@npealicia @rogermwade74 New follower. Curious, but WHY are women still conceiving kids they don’t want? Not rocket… https://t.co/ugquIUZwKu",LollyPoppins66,"DM’s WILL BE BLOCKED AND REPORTED INSTANTLY. MARRIED Christian conservative, retired homeschooling mom and newly minted grandmother.",Pro-life
VHYWA473JMK3,ac878e93-6de3-49c7-ab65-96bf8df40231,00bc93ee-63d1-4f6e-b073-8121c6981558,1540795741026848768,"@rachelmillman Reminder that men in general support abortion rights.

Keep your focus on your real enemy: conservative men and women",gloomythe5th,"I am an extremely important person with excellent opinions, just ask my highly attractive and charming followers.",Pro-choice
QEZAEMV2WF9D,0ee48b84-3e20-4489-bea2-c18a2b0fe6d3,00df4060-5947-4387-b304-c2c33c66b5c5,1540795844408053762,@GEdwards2021 @PoettOnYT @Gus15372522 @pasghetti__ @jentaub There is no right to an abortion in the Constitution. Y… https://t.co/ytpEIZ40Zc,RBrandmayr,"Constitutional Lawyer in Freehold, New Jersey. Card carrying conservative.",Pro-life
KY33NRPCAEZT,57857d58-fe78-45bb-bc60-c77898e91087,0147abe1-5435-469d-a3c2-343f6409f377,1540796175527182339,"@PitreTalitha @breeadail @AbsoluteWithE it's satire.
Sarcasm.
Annoyance. 

As a woman, it's disappointing people do… https://t.co/0n2YV4BE2L",SheVestigates,,Pro-choice
73FP3QEHRD7V,6baa2ac3-9c48-46b7-8ba9-eb003860eed8,01676ff0-34ef-424e-81d5-aff52a9a6fcd,1540795727495892992,"Notice how many of the women protesting in favor of abortion are 
ugly and/or overweight.",Sands_of__Time,"All praise is for Allah ﷻ | Quran-centric Shia Muslim | Traditional Conservative & Proud Iranian | Mixed Martial Arts | History, Philosophy, and Chess enjoyer.",Pro-life
XJKGQQWFXKTX,aafb528f-642d-483b-ade8-27c197513e95,021de91e-64de-49fa-9106-cd7181853348,1540795925928574977,"@THH6386 @marvin_gardens @deac4life @NC_Governor 1. It's not murder, you're not killing a person. Its a clump of ce… https://t.co/Lu99JsHup7",tjgeogladden,"Kind of a Geologist. Kinda Kanaka. Kinda  Panthers Fan. CofC C/O 2015.
HI/NC/SC",Pro-choice
2AZWNZRTVACE,a038ec86-e040-4cb7-825d-5dcd661ea98e,02229cc1-0eea-423f-ab07-1d4ba4c9a4ee,1540795863684898817,"@4lala I agree. It's her body and her life, so it should be her decision.  Full stop.  Because a right is not real… https://t.co/jWdP5TZD8k",ecrajett,"African American radical feminist and socialist, married to the woman I love.   

I love reading, thinking,  dogs, and the beauty of the earth.",Pro-choice
DPNAMHPJRREC,8d7a0ee1-e66f-4cdf-9021-46726edf61f9,024bfa44-b6f8-4399-a93d-5263311a2803,1540795790590783491,"@EmelRojasC If you’re against abortion, don’t get one.
If you’re against contraception, don’t take any.
If you’re a… https://t.co/Bt5aqEp6FF",jarubior,Opiniones Personales Md MSc FACOG Salud Sexual y Reproductiva Professor@UNColombia,Pro-choice
Z239E43AATKE,16da253f-7d8e-497d-9c3c-360af8874531,02670b75-7e60-46e2-a4d6-ea52770a5e01,1540794879235633152,I hate guns. I’ve always been against them and owning them. But now that the government wants to strip me of my rig… https://t.co/jHBraskpYe,KaiWolff2,"Kai | He/Him | 18 | Taken | HRT 1/6/22 | Artist, fursuit maker and sometimes dancer! PFP By @The_Lion_Thing",Pro-choice
WFRWYPY7XZJ9,8261cbfb-284c-4349-8d91-010af32da08a,02728feb-26ea-4076-87a2-0c9d58bc9471,1540795413535621125,@klippittyflopp @DwightTurf Americans are happy about Roe v Wade. You people from other countries need to stay out of our politics.,CLCampbell92,,Pro-life
2AZWNZRTVACE,dfe7cc87-0ab6-462d-9536-e4a7487e4043,02c039ba-2a3c-4fac-9489-cdb7e8d4e232,1540784882015580161,"Thank you ⁦@JayInslee⁩, ⁦@GavinNewsom⁩, ⁦@OregonGovBrown⁩

Next steps for Washington, Oregon, California after Roe… https://t.co/wDdzzKpOlp",Hooplaoly,"Liberal, love politics; follow smart, funny people. Lover of books. #khiveforBidenHarris2020, #oldwhitebroads4Kamala #BlackLivesMatter",Pro-choice
7R2NKCJQNXPP,7e2cf8a5-80f9-47f1-8c5a-a61970701e18,0323a8d7-0bd1-4685-b223-c16c64c7508b,1540796194997374976,@BarackObama So essential it was written right into the bill of righ- oh... wait... it wasn't. Well at least we pas… https://t.co/jb7qktGun5,TJskillz169,,Pro-life
XJKGQQWFXKTX,db62095c-9a02-4afb-a06c-185ef0ae161c,035f790e-9647-4da2-ab16-f1a31adce88e,1540796791360086017,"Don’t forget to set your clocks back 50 years if you haven’t already. 

@adage #RoeVsWade 

https://t.co/TX6M532OSN",mischief_usa,We’re up to something | Ad Age A-List Agency of the Year 2022 | Campaign Magazine Agency 2022,Pro-choice
Z6J69GNZYEXY,64d617aa-6d79-4951-bf39-f796d2dc7b6d,03ed9ef1-7b4f-4c58-b26a-d42e68b6f59b,1540795538865623041,@JoeBiden You mean like voting for a candidate who promised to codify roe v wade?,idhaise,"Saw Deep Blue Sea in the theater five times and it's all been downhill from there.
Not a fan of any movement with -gate in the name. TTRPG dork",Pro-choice
Z6J69GNZYEXY,2023a270-c4c1-4e72-8f3c-4aeee1560eca,045183b5-957f-4a8e-830c-8715f2760ecf,1540796064772591616,@NickPye10 Accidents happen.  Not everyone who gets an abortion is irresponsible.,Bexb63524585,"GETTR @bexbee Female. Yorkshire. One of the 17.4m. Politically homeless. Red pilled. Free speech. All lives matter. Defund BBC. Anti muzzle, anti lockdown.",Pro-choice
2AZWNZRTVACE,ffd19acf-d745-4b44-ab2e-3f3080bbb177,045768a8-839d-4a8b-aa65-15c1333743b3,1540795058001129472,@pattifry55 Clearly you don't know that what I'm describing is exactly what happened to poorer women before Roe v Wade 🙄,herbdoom,Kale is my spirit vegetable 🤢,Pro-choice
VNAQPVX4R36A,fa6e659c-a235-406f-8045-9520dede3ec9,049a7b50-963c-42bc-b815-90e571dc3f6b,1540796518944358402,via @NYTimes. The Supreme Court and evangelical ultra-conservatives who led the push to overturn Roe V Wade are sta… https://t.co/7py0qXPDN3,VictoriaBaldas2,"Adjunct English Prof., Director PT Faculty Union MC (SEIU Local 500), Democrat/Socialist #PoliticalWriter #WritingCommunity #BlackLivesMatter #ClimateCrisis",Pro-choice
2VHW4RE6AKTN,01ca8513-54ab-4550-8c13-e59d1d817e56,04a5a19a-d22f-4f1c-a2c0-51cfdd54fa34,1540794737594175489,@sorkincel Here is me launching my political career in SC. I will fight any politician who supported this Roe v Wad… https://t.co/xCaM1NnzES,cpkellogg98,"Growth marketing expert, Business casual, Meme dealer, Bi (sexual/polar), Atheist, Florida man incarnate",Pro-choice
VME4939DFDXR,13d29e54-f9a2-4493-a726-551da118a90b,04d1ac03-f0b0-4320-b110-8b363044e8be,1540796053313708032,@Fogle4MO arguing that abortion should only be allowed in cases of rape is fucking stupid bc rape cases take foreve… https://t.co/CyeEmMLrPD,scholarofswag,,Pro-choice
Z6J69GNZYEXY,9c3d9096-13be-4cdf-8908-9c08da77d725,04f974cd-74ca-4034-90cb-6e82b3c99126,1540795959931568130,@historynutnyc @johnrich @kelliwardaz Stop the stupid….. this is not concerned abortion in any state… I have seen t… https://t.co/3az4vKgrlx,TaraMignon,"I am totally awesome & really funny! I love live music, shopping, laughing, dancing, talking fast, my friends, my husband, my pug, and babies Sam & Sophie",Pro-life
T3RMAEPRMD6J,c70fa734-9c05-4d75-a4d3-583c44ca7040,04fb2873-9f71-4d94-95fe-d3c6981c35e1,1540795774644142080,@alchemyjoe @marwilliamson The TRUTH- most men refuse to believe that a lot of women enjoy sexual experiences just… https://t.co/L5kf6UgKEH,gayle_reuben,,Pro-life
DPNAMHPJRREC,8c2eac50-3f9a-406b-ae98-50e812569cb7,05775511-1b7d-4112-88a6-b37231ab3b4b,1540784700456845313,"Well, just had an argument with my mom about everything going on in our country. From the Supreme Court to Roe v Wa… https://t.co/AYKobguxRJ",anakinjmt,Self-proclaimed geek. @KindaFunnyVids best friend. @Fightful Select member. Fightful Gaming Contributor #BlackLivesMatter #LRLR #FTF ALL HAIL KING WOODS!,Pro-choice
QEZAEMV2WF9D,4700e953-b1a6-418c-b40e-51070ae49e6b,05b37537-0794-4807-b033-81763c3c7365,1540784462715408385,out here wondering if the supreme court realizes how much they’ve fucked up yet. because the shitstorm they created… https://t.co/8fsK0j1aTK,HeyHeyItsMollyT,exploration & adventure,Pro-choice
R7XYZ4FKMFF9,389b188b-19bc-4607-bafe-dc45457f7a82,069a32e2-5946-4db0-bddb-a0ae1034ec0b,1540784350899294208,And to EVERYONE celebrating the overturning of Roe v Wade. You better pray you don’t have a miscarriage. And pray y… https://t.co/qIF2Nqfp8D,th3yenvyal1yah,🇮🇹/🇲🇽,Pro-choice
FPMCK2P37RW2,037f942e-0bd2-4ddd-852c-5decefe02d65,06f91725-450c-456c-9ee2-8e5f08ac519d,1540795251886940161,"@TomFitton @MichelleObama @BarackObama As was stated earlier, the two Obamas don't have any respect or compassion f… https://t.co/nE2CqAZHSk",DaveandRitaCros,,Pro-life
VNAQPVX4R36A,834b0dfe-7d0a-4714-b677-052588026074,071ed8f1-0383-4ec7-a03f-98471f2c2c9a,1540794979102167040,@DCelesteSpencer @aprrey66 I am a little  younger but the battle to overturn Roe v Wade was always in my life. Its… https://t.co/PoUHLANd4S,ndane73,"Only inhale the truth so you don't exhale lies. 

US Navy Veteran",Pro-choice
VME4939DFDXR,c18963a3-88d1-4b48-82f5-376fec3d1e87,07a96536-e73c-4f65-9cbf-8748d47c6a52,1540795734756171777,@NickGiva @trader1sz Abortion is haram habibi,jellysmithrave,bitcoin is halal wealth habibi,Pro-life
VME4939DFDXR,3548441d-49ff-43ce-acc3-190515a62979,07c65816-fe7a-4260-917f-24aa732c393d,1540795640241864704,3. Go on a financial strike and refuse to buy anything other than essential goods.  Tell the media you are on strik… https://t.co/txbNYPqtJR,Ge2022A,"We will NOT be silenced, a General Election in 2022 is the only way to save the UK from complete ruin.  2nd Account, original got hacked - Court for the guilty!",Pro-choice
DPNAMHPJRREC,91c15a0b-d68d-4cad-b35c-233c3dea2a6e,07ed95a9-4281-429c-9647-ed68f2d7a68e,1540794810189066241,just saw someone’s instagram story celebrating Roe V Wade getting overturned. Am I allowed to unfollow them?,poozookie,Asian Dr.Umar,Pro-choice
